Index,Day,Month,Year,Type,Registration,Operator,Fatalities,Location,Country,Category
18630,30,MAR,1998,Boeing 727,,Kibris THY,0,Ankara-Esenboga ...,Turkey,H2
18631,31,MAR,1998,Convair CV-240-53 (C-131A),XA-TAP,L.A. Mexicana de Carga,2,near Zumpango,Mexico,A1
18632,31,MAR,1998,BAe BAe-748-378 Srs. 2B,G-OJEM,Emerald Airways,0,London-Stansted ...,U.K.,A1
18633,4,APR,1998,Cessna 525 CitationJet,N111LR,Alpha Wolf Enterprises,4,Marietta -  GA,USA,A1
18634,7,APR,1998,Cessna 208B Super Cargomaster,N868FE,FedEx - op.for Corporate Air,1,near Bismarck Municip...,USA,A1
18635,11,APR,1998,Dornier Do 28-G92 Turbo Skyservant,HA-ACU,Unknown,0,Gödöllo Airport,Hungary,A1
18636,12,APR,1998,Boeing 737-2H4,P4-NEN,Orient Eagle Airways,0,Almaty Airport (...,Kazakhstan,A1
18637,20,APR,1998,Boeing 727-230,HC-BSU,TAME Ecuador - opf Air France,53,near Bogotá-Eldorado...,Colombia,A1
18638,23,APR,1998,Embraer C-95B Bandeirante (EMB-110),2321,Brazilian AF,3,near Resende Airport - ...,Brazil,A1
18639,23,APR,1998,Shorts 330-100,TR-LEM,SAFT Gabon,0,La Lope,Gabon,A1
18640,24,APR,1998,Ilyushin Il-62M,YR-IRD,Trans Asian Airlines,0,Istanbul-Atatür...,Turkey,A1
18641,25,APR,1998,Lockheed EP-3J Orion,152745,US Navy,0,Brunswick NAS -  M...,USA,O1
18642,5,MAY,1998,Boeing 737-282,FAP-351,Peruvian AF - op.for Occidental Petroleum,75,near Andoas,Peru,A1
18643,7,MAY,1998,Antonov An-32B,3D-DRV,Southern Gateway,0,near Vaalwater,South Africa,A1
18644,7,MAY,1998,DC-9-32,N948VV,AirTran Airways,0,near Calhoun -  GA,USA,A2
18645,8,MAY,1998,Embraer C-95B Bandeirante (EMB-110),2322,Brazilian AF,4,Barra de Tijuca - ...,Brazil,A1
18646,10,MAY,1998,Lockheed L-1011 TriStar,,Air Luxor,0,Toronto-Pearson ...,Canada,H2
18647,10,MAY,1998,DHC-8-315 Dash 8,ZS-NLW,South African Express Airways,0,Johannesburg Int...,South Africa,A2
18648,10,MAY,1998,Airbus A340-312,CS-TOA,TAP,0,Johannesburg Int...,South Africa,A2
18649,11,MAY,1998,Antonov An-12B,RA-12973,Tyumenaviatrans,0,Luanda-4 de Feve...,Angola,A1
18650,12,MAY,1998,Xian Yunshuji Y-7H-500,5T-MAG,Mauritanian AF,39,near Néma Airport (EMN),Mauritania,A1
18651,12,MAY,1998,Boeing 767-33AER,ET-AKW,Ethiopian Airlines,0,Cairo Internatio...,Egypt,A2
18652,12,MAY,1998,Airbus A320-231,SU-GBD,EgyptAir,0,Cairo Internatio...,Egypt,A2
18653,14,MAY,1998,Cessna 208 Caravan I,N192AV,Baker Aviation,0,near Nome Airport -  AK...,USA,A2
18654,15,MAY,1998,Fokker F-28 Fellowship 4000,PK-MGT,Merpati Nusantara,0,Kendari Airport ...,Indonesia,A1
18655,16,MAY,1998,Fokker F-28 Fellowship 4000,PK-VFY,Manunggal Air,0,Singapore-Seleta...,Singapore,A1
18656,20,MAY,1998,BAe BAe-748-344 Srs. 2A,ZS-XGY,Intensive Air,0,Johannesburg Int...,South Africa,O2
18657,20,MAY,1998,Airbus A340-313,EC-GJT,Iberia,0,Johannesburg Int...,South Africa,O2
18658,21,MAY,1998,Airbus A320-212,G-UKLL,Air UK Leisure,0,Ibiza Airport (IBZ),Spain,A2
18659,24,MAY,1998,Douglas C-47A (DC-3),N67588,Majestic Air Cargo,0,near Anchorage -  AK,USA,A1
18660,24,MAY,1998,Fokker F-27 Friendship 200,AP-BCZ,PIA,0,Hyderabad Airpor...,Pakistan,H2
18661,25,MAY,1998,Yakovlev Yak-40,RDPL-34001,Lao Aviation,26,near Long Tieng -  Xian...,Laos,A1
18662,26,MAY,1998,Harbin Yunshuji Y-12 II,JU-1017,MIAT,28,near Erdenet,Mongolia,A1
18663,30,MAY,1998,Convair CV-240-17,N87949,Trans Florida Airlines,0,Aguadilla-Borinq...,Puerto Rico,A1
18664,2,JUN,1998,Antonov An-2R,SP-WNF,ZUA,1,,Iran,A2
18665,3,JUN,1998,Swearingen SA227-AC Metro III,LV-WIL,Air Tango,0,Santa Fé-Sauce ...,Argentina,A1
18666,5,JUN,1998,Boeing 727-25F,5Y-BMW,Aero Zambia,0,Asmara Internati...,Eritrea,O1
